127.0.0.1 - - [11/Oct/2016:09:53:37 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/ HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/css/bootstrap-accessibility.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/js/bootbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:28 +0200] "GET /SurveyTool/js/bootstrap-accessibility.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /SurveyTool/js/stinterface.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /SurveyTool/js/stcheckforms.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /SurveyTool/img/p4aicon.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /SurveyTool/img/euroflag.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:54:29 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:55:18 +0200] "POST /SurveyTool/LoginServlet HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:55:18 +0200] "GET /SurveyTool/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:55:18 +0200] "GET /SurveyTool/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:49 +0200] "GET /SurveyTool/UserPanelHomeServlet?upoption=surveys HTTP/1.1" 200 24164
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:49 +0200] "GET /SurveyTool/js/dataTables.en.lang HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/css/controlesReproYoutubeAcc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/js/editsurvey.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/js/editsurvey-dependences.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/js/controlesAccesiblesYoutubeIframes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:55 +0200] "GET /SurveyTool/SurveysServlet?surveyid=3 HTTP/1.1" 200 205527
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/surveyajs?sid=bsffqfrvf5&langsurvey=en HTTP/1.1" 200 12996
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/css/survey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/js/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/js/angular/angular-sanitize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/js/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/ng/controllers/surveyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/ng/service/surveyService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/ng/controllers/angular-youtube-embed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/img/powered.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/img/content-bg-top.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/img/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/img/content-bg-bottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/bodyPages/bSurveyFinishPage.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionShortText.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionLongText.jsp HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionSimple.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionScale.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:58 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionMatrix.jsp HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/%7B%7Bresource.urlPath%7D%7D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/msg-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/asterisk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/exclamation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/radio-off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/tmp/question.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:01:59 +0200] "GET /SurveyTool/img/radio-on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:00 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionMultiple.jsp HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:00 +0200] "GET /SurveyTool/%7B%7Bresource.urlPath%7D%7D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:00 +0200] "GET /SurveyTool/img/checkbox-on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:00 +0200] "GET /SurveyTool/img/checkbox-off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:29 +0200] "GET /SurveyTool/surveyajs?sid=bsffqfrvf5&langsurvey=en HTTP/1.1" 200 12996
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:29 +0200] "GET /SurveyTool/css/bootstrap-accessibility.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2016:10:02:29 +0200] "GET /SurveyTool/css/bootstrap.css HTTP/1.1" 304 -
