127.0.0.1 - - [10/Oct/2016:09:41:44 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/ HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/css/bootstrap-accessibility.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:39 +0200] "GET /SurveyTool/js/bootbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/js/bootstrap-accessibility.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/js/stinterface.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/js/stcheckforms.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/img/euroflag.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /SurveyTool/img/p4aicon.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:40 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:52 +0200] "POST /SurveyTool/LoginServlet HTTP/1.1" 200 6943
